timestamp_us,type,payload_len,rtt_ms,loss_percent,tx_queue_depth,datagram_budget,handshake_time_ms,stream_window_available,quic_ready,cpu_usage,heap_free,heap_caps,main_stack_hwm,net_tx_stack_hwm,tx_queue_max,route_queue_full_count,stream_send_ok,stream_send_fail,datagrams_sent,datagrams_lost,inference_us,inference_to_enqueue_us,decision_mode,pacing_level,ai,backend,det
40053243680,0,16,147,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,41,0,0,0,0,0,0,0,,,
40053715048,2,2845,147,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,42,0,0,0,15948,885,0,0,,,
40054027241,0,16,146,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,43,0,0,0,0,0,0,0,,,
40054495394,2,2827,146,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,44,0,0,0,16007,887,0,0,,,
40054807683,0,16,145,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,45,0,0,0,0,0,0,0,,,
40055275145,2,2827,145,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,46,0,0,0,16197,892,0,0,,,
40055587677,0,16,144,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,47,0,0,0,0,0,0,0,,,
40056055148,2,2811,145,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,48,0,0,0,15970,880,0,0,,,
40056367364,0,16,143,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,49,0,0,0,0,0,0,0,,,
40056835198,2,2837,144,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,50,0,0,0,16053,894,0,0,,,
40057199036,0,16,143,0,0,15822,2241,0,1,0,8291748,8292755,8416,5116,0,0,51,0,0,0,0,0,0,0,,,
40057680989,2,2837,146,0,0,15887,2241,0,1,0,8291748,8291355,8416,5116,0,0,52,0,0,0,15942,886,0,0,,,
40057993681,0,16,145,0,0,15887,2241,0,1,0,8291748,8291355,8416,5116,0,0,53,0,0,0,0,0,0,0,,,
40058465140,2,2839,145,0,0,15887,2241,0,1,0,8291748,8291355,8416,5116,0,0,54,0,0,0,16373,883,0,0,,,
40058777757,0,16,144,0,0,15887,2241,0,1,0,8291748,8291355,8416,5116,0,0,55,0,0,0,0,0,0,0,,,
40059245030,2,2839,145,0,0,15887,2241,0,1,0,8291748,8291355,8416,5116,0,0,56,0,0,0,16078,880,0,0,,,
40059557047,0,16,143,0,0,15887,2241,0,1,0,8291748,8291355,8416,5116,0,0,57,0,0,0,0,0,0,0,,,
40060025120,2,2829,144,0,0,15887,2241,0,1,0,8291748,8291355,8416,5116,0,0,58,0,0,0,16095,882,0,0,,,
